Router,Host,Index,Transporte(Mbps),Cliente,CID,device_index
cMETROTrujillo2,10.235.202.250,18,100,UNIVERSIDAD PRIVADA ANTENOR ORREGO,4943440,cMETROTrujillo218
cMETROTrujillo2,10.235.202.250,10,50,DANPER TRUJILLO SAC,4846932,cMETROTrujillo210
cMETROTrujillo2,10.235.202.250,73,20,CLINICA SANCHEZ FERRER S  A,5518815,cMETROTrujillo273
cMETROTrujillo2,10.235.202.250,81,20,REAL PLAZA SRL,5638783,cMETROTrujillo281
cMETROTrujillo2,10.235.202.250,99,20,COOPERATIVA DE AHORRO Y CREDITO PARROQUIA SAN LORENZO TRUJILLO LTDA 104,5622609,cMETROTrujillo299
cMETROTrujillo2,10.235.202.250,83,15,NOR OIL SAC,5716471,cMETROTrujillo283
cMETROTrujillo2,10.235.202.250,96,6,MANNUCCI DIESEL SAC ,6361041,cMETROTrujillo296
cMETROTrujillo2,10.235.202.250,66,12,GRUPO LIVES SA,5289070,cMETROTrujillo266
cMETROTrujillo2,10.235.202.250,68,12,PONTIFICIA UNIVERSIDAD CATOLICA DEL PERU,5236319,cMETROTrujillo268
cMETROTrujillo2,10.235.202.250,69,12,PONTIFICIA UNIVERSIDAD CATOLICA DEL PERU,5236328,cMETROTrujillo269
